Approved symbol	Approved name	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
TRN-GTT15-2	tRNA-Asn (GTT) 15-2		
TRN-GTT19-2	tRNA-Asn (GTT) 19-2		
TRQ-CTG8-3	tRNA-Gln (CTG) 8-3		
NUPR2P1	NUPR2 pseudogene 1		
BACH1-IT1	BACH1 intronic transcript 1		
MT-CSB1	mitochondrially encoded conserved sequence block I		
MT-CSB2	mitochondrially encoded conserved sequence block II		
MT-CSB3	mitochondrially encoded conserved sequence block III		
MT-HPR	mitochondrially encoded replication primer		
MT-HSP1	mitochondrially encoded major H-strand promoter		
MT-HSP2	mitochondrially encoded minor H-strand promoter		
MT-LSP	mitochondrially encoded L-strand promoter		
MT-OHR	mitochondrially encoded heavy strand origin of replication		
MT-OLR	mitochondrially encoded light strand origin of replication		
MT-RNR3	mitochondrially encoded 5S-like sequence		
MT-TAS	mitochondrially encoded termination associated sequence		
MT-TER	mitochondrially encoded transcription terminator		
MT-TFH	mitochondrially encoded transcription factor binding site H		
MT-TFL	mitochondrially encoded transcription factor binding site L		
MT-TFX	mitochondrially encoded transcription factor binding site X		
MT-TFY	mitochondrially encoded transcription factor binding site Y		
MT-7SDNA	mitochondrially encoded 7S DNA		
EBVM1	Epstein Barr virus modification site 1		
AKAP2	A-kinase anchoring protein 2		
ERVH-9	endogenous retrovirus group H member 9, envelope		
ERVH-10	endogenous retrovirus group H member 10, envelope		
ERVH-8	endogenous retrovirus group H member 8, envelope		
A1BG	alpha-1-B glycoprotein	NM_130786	1
A2M	alpha-2-macroglobulin	NM_000014	2
A2MP1	alpha-2-macroglobulin pseudogene 1	NG_001067	3
NAT1	N-acetyltransferase 1	NM_000662	9
NAT2	N-acetyltransferase 2	NM_000015	10
NATP	N-acetyltransferase pseudogene		11
SERPINA3	serpin family A member 3	NM_001085	12
AADAC	arylacetamide deacetylase	NM_001086	13
AAMP	angio associated migratory cell protein	NM_001087	14
AANAT	aralkylamine N-acetyltransferase	NM_001088	15
AARS1	alanyl-tRNA synthetase 1	NM_001605	16
AAVS1	adeno-associated virus integration site 1		17
ABAT	4-aminobutyrate aminotransferase	NM_020686	18
ABCA1	ATP binding cassette subfamily A member 1	NM_005502	19
ABCA2	ATP binding cassette subfamily A member 2	NM_001606	20
ABCA3	ATP binding cassette subfamily A member 3	NM_001089	21
ABCB7	ATP binding cassette subfamily B member 7	NM_004299	22
ABCF1	ATP binding cassette subfamily F member 1		23
ABCA4	ATP binding cassette subfamily A member 4	NM_000350	24
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	NM_007313	25
AOC1	amine oxidase copper containing 1	NM_001091	26
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	NM_005158	27
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	NM_020469	28
ABR	ABR activator of RhoGEF and GTPase		29
ACAA1	acetyl-CoA acyltransferase 1	NM_001607	30
ACACA	acetyl-CoA carboxylase alpha	NM_198836	31
ACACB	acetyl-CoA carboxylase beta	NM_001093	32
ACADL	acyl-CoA dehydrogenase long chain	NM_001608	33
ACADM	acyl-CoA dehydrogenase medium chain		34
ACADS	acyl-CoA dehydrogenase short chain	NM_000017	35
ACADSB	acyl-CoA dehydrogenase short/branched chain	NM_001609	36
ACADVL	acyl-CoA dehydrogenase very long chain	NM_000018	37
ACAT1	acetyl-CoA acetyltransferase 1	NM_000019	38
ACAT2	acetyl-CoA acetyltransferase 2	NM_005891	39
ASIC2	acid sensing ion channel subunit 2	NM_183377, NM_001094	40
ASIC1	acid sensing ion channel subunit 1	NM_020039	41
ACHE	acetylcholinesterase (Cartwright blood group)	NM_015831	43
ACLY	ATP citrate lyase	NM_001096	47
ACO1	aconitase 1	NM_002197	48
ACR	acrosin	NM_001097	49
ACO2	aconitase 2	NM_001098	50
ACOX1	acyl-CoA oxidase 1		51
ACP1	acid phosphatase 1	NM_004300	52
ACP2	acid phosphatase 2, lysosomal	NM_001610	53
ACP5	acid phosphatase 5, tartrate resistant		54
ACP3	acid phosphatase 3	NM_001099	55
ACRV1	acrosomal vesicle protein 1	NM_001612	56
ACTA1	actin alpha 1, skeletal muscle	NM_001100	58
ACTA2	actin alpha 2, smooth muscle	NM_001613	59
ACTB	actin beta	NM_001101	60
ACTBP2	ACTB pseudogene 2	NG_003019	62
ACTBP3	ACTB pseudogene 3		63
ACTBP4	ACTB pseudogene 4		64
ACTBP6	ACTB pseudogene 6	NG_008793	66
ACTBP7	ACTB pseudogene 7		67
ACTBP8	ACTB pseudogene 8	NG_000840	68
ACTBP9	ACTB pseudogene 9	NG_003162	69
ACTC1	actin alpha cardiac muscle 1	NM_005159	70
ACTG1	actin gamma 1	NM_001614	71
ACTG2	actin gamma 2, smooth muscle	NM_001615	72
ACTG1P1	actin gamma 1 pseudogene 1	NG_001068	73
ACTG1P2	actin gamma 1 pseudogene 2	NG_004636	74
ACTG1P3	actin gamma 1 pseudogene 3	NG_000842	75
ACTG1P6	actin gamma 1 pseudogene 6		78
ACTG1P7	actin gamma 1 pseudogene 7		79
ACTG1P8	actin gamma 1 pseudogene 8		80
ACTN4	actinin alpha 4		81
ACTG1P9	actin gamma 1 pseudogene 9	NG_001069	82
ACTG1P10	actin gamma 1 pseudogene 10	NG_003039	83
ACTL6A	actin like 6A	NM_004301	86
ACTN1	actinin alpha 1	NM_001102	87
ACTN2	actinin alpha 2	NM_001103	88
ACTN3	actinin alpha 3	NM_001104	89
ACVR1	activin A receptor type 1	NM_001105	90
ACVR1B	activin A receptor type 1B	NM_020328	91
ACVR2A	activin A receptor type 2A	NM_001616	92
ACVR2B	activin A receptor type 2B	NM_001106	93
ACVRL1	activin A receptor like type 1	NM_000020	94
ACY1	aminoacylase 1	NM_000666	95
ACYP1	acylphosphatase 1		97
ACYP2	acylphosphatase 2		98
ADA	adenosine deaminase	NM_000022	100
ADAM8	ADAM metallopeptidase domain 8	NM_001109	101
ADAM10	ADAM metallopeptidase domain 10	NM_001110	102
ADAR	adenosine deaminase RNA specific	NM_001111	103
ADARB1	adenosine deaminase RNA specific B1	NM_015833	104
ADARB2	adenosine deaminase RNA specific B2 (inactive)	NM_018702	105
ADCP1	adenosine deaminase complexing protein 1		106
ADCY1	adenylate cyclase 1	NM_021116	107
ADCY2	adenylate cyclase 2	NM_020546	108
ADCY3	adenylate cyclase 3		109
ADCY5	adenylate cyclase 5	NM_183357	111
ADCY6	adenylate cyclase 6	NM_020983	112
ADCY7	adenylate cyclase 7		113
ADCY8	adenylate cyclase 8		114
ADCY9	adenylate cyclase 9		115
ADCYAP1	adenylate cyclase activating polypeptide 1	NM_001117	116
ADCYAP1R1	ADCYAP receptor type I	NM_001118	117
ADD1	adducin 1	NM_014189	118
ADD2	adducin 2	NM_001617	119
ADD3	adducin 3	NM_019903	120
PLIN2	perilipin 2	NM_001122	123
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	NM_000667	124
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	NM_000668	125
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	NM_000669	126
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	NM_000670	127
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	NM_000671	128
ADH6	alcohol dehydrogenase 6 (class V)	NM_000672	130
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	NM_000673	131
ADK	adenosine kinase	NM_006721	132
ADM	adrenomedullin	NM_001124	133
ADORA1	adenosine A1 receptor	NM_000674	134
ADORA2A	adenosine A2a receptor	NM_000675	135
ADORA2B	adenosine A2b receptor		136
ADORA2BP1	adenosine A2b receptor pseudogene 1	NG_000843	137
ADORA3	adenosine A3 receptor	NM_000677, NM_020683	140
ADPRH	ADP-ribosylarginine hydrolase	NM_001125	141
PARP1	poly(ADP-ribose) polymerase 1	NM_001618	142
PARP4	poly(ADP-ribose) polymerase family member 4	NM_006437	143
PARP1P1	poly(ADP-ribose) polymerase 1 pseudogene 1	NG_002655	144
PARP1P2	poly(ADP-ribose) polymerase 1 pseudogene 2		145
ADRA1D	adrenoceptor alpha 1D	NM_000678	146
ADRA1B	adrenoceptor alpha 1B		147
ADRA1A	adrenoceptor alpha 1A	NM_033303	148
ADRA2A	adrenoceptor alpha 2A	NM_000681	150
ADRA2B	adrenoceptor alpha 2B		151
ADRA2C	adrenoceptor alpha 2C	NM_000683	152
ADRB1	adrenoceptor beta 1		153
ADRB2	adrenoceptor beta 2	NM_000024	154
ADRB3	adrenoceptor beta 3	NM_000025	155
GRK2	G protein-coupled receptor kinase 2	NM_001619	156
GRK3	G protein-coupled receptor kinase 3	NM_005160	157
ADSL	adenylosuccinate lyase	NM_000026	158
ADSS2	adenylosuccinate synthase 2	NM_001126	159
AP2A1	adaptor related protein complex 2 subunit alpha 1		160
AP2A2	adaptor related protein complex 2 subunit alpha 2	NM_012305	161
AP1B1	adaptor related protein complex 1 subunit beta 1	NM_001127	162
AP2B1	adaptor related protein complex 2 subunit beta 1		163
AP1G1	adaptor related protein complex 1 subunit gamma 1		164
AEBP1	AE binding protein 1	NM_001129	165
TLE5	TLE family member 5, transcriptional modulator	NM_198969	166
CRISP1	cysteine rich secretory protein 1	NM_001131	167
AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene	NR_003226	172
AFM	afamin		173
AFP	alpha fetoprotein		174
AGA	aspartylglucosaminidase	NM_000027	175
ACAN	aggrecan	NM_001135	176
AGER	advanced glycosylation end-product specific receptor	NM_001136	177
AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	NM_000028	178
AGRP	agouti related neuropeptide		181
JAG1	jagged canonical Notch ligand 1	NM_000214	182
AGT	angiotensinogen	NM_000029	183
AGTR1	angiotensin II receptor type 1		185
AGTR2	angiotensin II receptor type 2	NM_000686	186
APLNR	apelin receptor	NM_005161	187
AGXT	alanine--glyoxylate aminotransferase	NM_000030	189
NR0B1	nuclear receptor subfamily 0 group B member 1	NM_000475	190
AHCY	adenosylhomocysteinase	NM_000687	191
AHR	aryl hydrocarbon receptor	NM_001621	196
AHSG	alpha 2-HS glycoprotein	NM_001622	197
AIF1	allograft inflammatory factor 1		199
CRYBG1	crystallin beta-gamma domain containing 1		202
AK1	adenylate kinase 1		203
AK2	adenylate kinase 2	NM_001625	204
AK4	adenylate kinase 4	NM_013410	205
AK4P1	adenylate kinase 4 pseudogene 1	NG_001070	206
AKT1	AKT serine/threonine kinase 1	NM_005163	207
AKT2	AKT serine/threonine kinase 2	NM_001626	208
ALAD	aminolevulinate dehydratase	NM_001003945	210
ALAS1	5'-aminolevulinate synthase 1		211
ALAS2	5'-aminolevulinate synthase 2	NM_000032	212
ALB	albumin	NM_000477	213
ALCAM	activated leukocyte cell adhesion molecule	NM_001627	214
ABCD1	ATP binding cassette subfamily D member 1	NM_000033	215
ALDH1A1	aldehyde dehydrogenase 1 family member A1		216
ALDH2	aldehyde dehydrogenase 2 family member	NM_000690	217
ALDH3A1	aldehyde dehydrogenase 3 family member A1	NM_000691	218
ALDH1B1	aldehyde dehydrogenase 1 family member B1		219
ALDH1A3	aldehyde dehydrogenase 1 family member A3	NM_000693	220
ALDH3B1	aldehyde dehydrogenase 3 family member B1	NM_000694	221
ALDH3B2	aldehyde dehydrogenase 3 family member B2	NM_000695	222
ALDH9A1	aldehyde dehydrogenase 9 family member A1		223
ALDH3A2	aldehyde dehydrogenase 3 family member A2		224
ABCD2	ATP binding cassette subfamily D member 2	NM_005164	225
ALDOA	aldolase, fructose-bisphosphate A	NM_000034	226
ALDOAP2	ALDOA pseudogene 2		228
ALDOB	aldolase, fructose-bisphosphate B		229
ALDOC	aldolase, fructose-bisphosphate C		230
AKR1B1	aldo-keto reductase family 1 member B	NM_001628	231
AKR1B1P2	aldo-keto reductase family 1 member B1 pseudogene 2		236
ALK	ALK receptor tyrosine kinase	NM_004304	238
ALOX12	arachidonate 12-lipoxygenase, 12S type		239
ALOX5	arachidonate 5-lipoxygenase		240
ALOX5AP	arachidonate 5-lipoxygenase activating protein	NM_001629	241
ALOX12B	arachidonate 12-lipoxygenase, 12R type		242
ALOX12P1	arachidonate 12-lipoxygenase pseudogene 1		243
ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2		245
ALOX15	arachidonate 15-lipoxygenase		246
ALOX15B	arachidonate 15-lipoxygenase type B		247
ALPI	alkaline phosphatase, intestinal	NM_001631	248
ALPL	alkaline phosphatase, biomineralization associated	NM_000478	249
ALPP	alkaline phosphatase, placental	NM_001632	250
ALPG	alkaline phosphatase, germ cell	NM_031313	251
ALX3	ALX homeobox 3	NM_006492	257
AMBN	ameloblastin	NM_016519	258
AMBP	alpha-1-microglobulin/bikunin precursor	NM_001633	259
AMD1	adenosylmethionine decarboxylase 1		262
AMD1P2	adenosylmethionine decarboxylase 1 pseudogene 2	NG_001073	263
AMELX	amelogenin X-linked	NM_001142	265
AMELY	amelogenin Y-linked	NM_001143	266
AMFR	autocrine motility factor receptor		267
AMH	anti-Mullerian hormone	NM_000479	268
AMHR2	anti-Mullerian hormone receptor type 2	NM_020547	269
AMPD1	adenosine monophosphate deaminase 1		270
AMPD2	adenosine monophosphate deaminase 2		271
AMPD3	adenosine monophosphate deaminase 3	NM_000480	272
AMPH	amphiphysin	NM_001635	273
BIN1	bridging integrator 1	NM_139343	274
AMT	aminomethyltransferase	NM_000481	275
AMY1A	amylase alpha 1A	NM_001008221	276
AMY1B	amylase alpha 1B	NM_001008218	277
AMY1C	amylase alpha 1C	NM_001008219	278
AMY2A	amylase alpha 2A	NM_000699	279
AMY2B	amylase alpha 2B	NM_020978	280
AMYP1	amylase alpha pseudogene 1	NG_004750	281
ANCR	Angelman syndrome chromosome region		282
ANG	angiogenin	NM_001097577	283
ANGPT1	angiopoietin 1	NM_001146, NM_139290	284
ANGPT2	angiopoietin 2	NM_001147	285
ANK1	ankyrin 1	NM_020475	286
ANK2	ankyrin 2	NM_001148	287
ANK3	ankyrin 3	NM_020987	288
ANPEP	alanyl aminopeptidase, membrane		290
SLC25A4	solute carrier family 25 member 4	NM_001151	291
SLC25A5	solute carrier family 25 member 5	NM_001152	292
SLC25A6	solute carrier family 25 member 6	NM_001636	293
ANXA1	annexin A1	NM_000700	301
ANXA2	annexin A2	NM_001002857	302
ANXA2P1	annexin A2 pseudogene 1	NR_001562	303
ANXA2P2	annexin A2 pseudogene 2		304
ANXA2P3	annexin A2 pseudogene 3	NR_001446	305
ANXA3	annexin A3	NM_005139	306
ANXA4	annexin A4	NM_001153	307
ANXA5	annexin A5	NM_001154	308
ANXA6	annexin A6	NM_001155	309
ANXA7	annexin A7	NM_001156	310
ANXA11	annexin A11	NM_145869	311
ANXA13	annexin A13	NM_004306	312
AOAH	acyloxyacyl hydrolase	NM_001637	313
AOC2	amine oxidase copper containing 2	NM_009590, NM_001158	314
AOX1	aldehyde oxidase 1	NM_001159	316
APAF1	apoptotic peptidase activating factor 1	NM_181861.1	317
NUDT2	nudix hydrolase 2	NM_001161	318
APOF	apolipoprotein F		319
APBA1	amyloid beta precursor protein binding family A member 1	NM_001163	320
APBA2	amyloid beta precursor protein binding family A member 2	NM_005503	321
APBB1	amyloid beta precursor protein binding family B member 1	NM_001164	322
APBB2	amyloid beta precursor protein binding family B member 2	NM_173075	323
APC	APC regulator of WNT signaling pathway	NM_000038	324
APCS	amyloid P component, serum	NM_001639	325
AIRE	autoimmune regulator		326
APEH	acylaminoacyl-peptide hydrolase		327
APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1	NM_001641	328
BIRC2	baculoviral IAP repeat containing 2	NM_001166	329
BIRC3	baculoviral IAP repeat containing 3	NM_001165	330
XIAP	X-linked inhibitor of apoptosis	NM_001167	331
BIRC5	baculoviral IAP repeat containing 5	NM_001168	332
APLP1	amyloid beta precursor like protein 1	NM_001024807	333
APLP2	amyloid beta precursor like protein 2	NM_001642	334
APOA1	apolipoprotein A1	NM_000039	335
APOA2	apolipoprotein A2	NM_001643	336
APOA4	apolipoprotein A4	NM_000482	337
APOB	apolipoprotein B		338
APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1	NM_001644	339
APOC1	apolipoprotein C1		341
APOC1P1	apolipoprotein C1 pseudogene 1	NR_028412	342
AQP8	aquaporin 8	NM_001169	343
APOC2	apolipoprotein C2	NM_000483	344
APOC3	apolipoprotein C3	NM_000040	345
APOC4	apolipoprotein C4	NM_001646	346
APOD	apolipoprotein D	NM_001647	347
APOE	apolipoprotein E	NM_000041	348
APOH	apolipoprotein H	NM_000042	350
APP	amyloid beta precursor protein	NM_000484	351
APRT	adenine phosphoribosyltransferase	NM_000485	353
KLK3	kallikrein related peptidase 3	NM_145864	354
FAS	Fas cell surface death receptor		355
FASLG	Fas ligand		356
SHROOM2	shroom family member 2	NM_001649	357
AQP1	aquaporin 1 (Colton blood group)	NM_198098	358
AQP2	aquaporin 2	NM_000486	359
AQP3	aquaporin 3 (Gill blood group)	NM_004925	360
AQP4	aquaporin 4	NM_001650, NM_004028	361
AQP5	aquaporin 5	NM_001651	362
AQP6	aquaporin 6	NM_001652, NM_053286	363
AQP7	aquaporin 7	NM_001170	364
AQP9	aquaporin 9	NM_020980	366
AR	androgen receptor	NM_000044	367
ABCC6	ATP binding cassette subfamily C member 6		368
ARAF	A-Raf proto-oncogene, serine/threonine kinase		369
ARCN1	archain 1		372
TRIM23	tripartite motif containing 23	NM_001656	373
AREG	amphiregulin		374
ARF1	ADP ribosylation factor 1	NM_001024227	375
ARF3	ADP ribosylation factor 3	NM_001659	377
ARF4	ADP ribosylation factor 4	NM_001660	378
ARL4D	ADP ribosylation factor like GTPase 4D	NM_001661	379
ARF4P1	ADP ribosylation factor 4 pseudogene 1	NG_001075	380
ARF5	ADP ribosylation factor 5	NM_001662	381
ARF6	ADP ribosylation factor 6	NM_001663	382
ARG1	arginase 1		383
ARG2	arginase 2	NM_001172	384
RHOA	ras homolog family member A	NM_001664	387
RHOB	ras homolog family member B	NM_004040	388
RHOC	ras homolog family member C	NM_175744	389
RND3	Rho family GTPase 3	NM_005168	390
RHOG	ras homolog family member G	NM_001665	391
ARHGAP1	Rho GTPase activating protein 1	NM_004308	392
ARHGAP4	Rho GTPase activating protein 4	NM_001666	393
ARHGAP5	Rho GTPase activating protein 5	NM_001030055	394
ARHGAP6	Rho GTPase activating protein 6	NM_013427	395
ARHGDIA	Rho GDP dissociation inhibitor alpha	NM_004309	396
ARHGDIB	Rho GDP dissociation inhibitor beta	NM_001175	397
ARHGDIG	Rho GDP dissociation inhibitor gamma		398
RHOH	ras homolog family member H	NM_004310	399
ARL1	ADP ribosylation factor like GTPase 1	NM_001177	400
PHOX2A	paired like homeobox 2A	NM_005169	401
ARL2	ADP ribosylation factor like GTPase 2	NM_001667	402
ARL3	ADP ribosylation factor like GTPase 3	NM_004311	403
ARNT	aryl hydrocarbon receptor nuclear translocator		405
BMAL1	basic helix-loop-helix ARNT like 1	NM_001178	406
ARR3	arrestin 3	NM_004312	407
ARRB1	arrestin beta 1	NM_004041	408
ARRB2	arrestin beta 2	NM_004313	409
ARSA	arylsulfatase A	NM_000487	410
ARSB	arylsulfatase B	NM_000046	411
STS	steroid sulfatase	NM_000351	412
ARSC2	arylsulfatase C, isozyme F		413
ARSD	arylsulfatase D		414
ARSL	arylsulfatase L	NM_000047	415
ARSF	arylsulfatase F		416
ART1	ADP-ribosyltransferase 1	NM_004314	417
ART2P	ADP-ribosyltransferase 2, pseudogene	NG_001076	418
ART3	ADP-ribosyltransferase 3 (inactive)	NM_001179	419
ART4	ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)	NM_021071	420
ARVCF	ARVCF delta catenin family member	NM_001670	421
ASAH1	N-acylsphingosine amidohydrolase 1	NM_004315	427
ASCL1	achaete-scute family bHLH transcription factor 1		429
ASCL2	achaete-scute family bHLH transcription factor 2	NM_005170	430
ASGR1	asialoglycoprotein receptor 1	NM_001671	432
ASGR2	asialoglycoprotein receptor 2	NM_080914	433
ASIP	agouti signaling protein		434
ASL	argininosuccinate lyase	NM_000048	435
ASLP1	argininosuccinate lyase pseudogene 1	NG_002637	436
ASMT	acetylserotonin O-methyltransferase	NM_004043	438
GET3	guided entry of tail-anchored proteins factor 3, ATPase	NM_004317	439
ASNS	asparagine synthetase (glutamine-hydrolyzing)	NM_001673, NM_183356	440
ASNSP2	ASNS pseudogene 2		442
ASPA	aspartoacylase	NM_000049	443
ASPH	aspartate beta-hydroxylase	NM_004318	444
ASS1	argininosuccinate synthase 1	NM_000050	445
ASS1P2	argininosuccinate synthetase 1 pseudogene 2	NG_000845	447
ASS1P4	argininosuccinate synthetase 1 pseudogene 4	NG_000846	449
ASS1P5	argininosuccinate synthetase 1 pseudogene 5	NG_000847	450
ASS1P6	argininosuccinate synthetase 1 pseudogene 6	NG_000848	451
ASS1P8	argininosuccinate synthetase 1 pseudogene 8	NG_003009	453
ASS1P9	argininosuccinate synthetase 1 pseudogene 9	NG_003022	454
ASS1P10	argininosuccinate synthetase 1 pseudogene 10	NG_003021	455
ASS1P14	argininosuccinate synthetase 1 pseudogene 14		459
ASTN1	astrotactin 1	NM_004319	460
SERPINC1	serpin family C member 1	NM_000488	462
ZFHX3	zinc finger homeobox 3	NM_006885	463
ATF1	activating transcription factor 1	NM_005171	466
ATF3	activating transcription factor 3	NM_001674	467
ATF4	activating transcription factor 4	NM_001675	468
ATF4P1	activating transcription factor 4 pseudogene 1	NG_001080	469
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	NM_004044	471
ATM	ATM serine/threonine kinase	NM_000051	472
RERE	arginine-glutamic acid dipeptide repeats		473
ATOH1	atonal bHLH transcription factor 1	NM_005172	474
ATOX1	antioxidant 1 copper chaperone	NM_004045	475
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	NM_001160233	476
ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	NM_000702	477
ATP1A3	ATPase Na+/K+ transporting subunit alpha 3	NM_152296	478
ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit	NM_001676	479
ATP1A4	ATPase Na+/K+ transporting subunit alpha 4	NM_144699	480
ATP1B1	ATPase Na+/K+ transporting subunit beta 1		481
ATP1B2	ATPase Na+/K+ transporting subunit beta 2	NM_001678	482
ATP1B3	ATPase Na+/K+ transporting subunit beta 3	NM_001679	483
ATP1B3P1	ATPase Na+/K+ transporting subunit beta 3 pseudogene 1	NG_000849	484
ATP1B1P1	ATPase Na+/K+ transporting subunit beta 1 pseudogene 1	NG_001081	485
FXYD2	FXYD domain containing ion transport regulator 2	NM_021603	486
ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	NM_004320	487
ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	NM_001681	488
ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	NM_174953	489
ATP2B1	ATPase plasma membrane Ca2+ transporting 1	NM_001682	490
ATP2B2	ATPase plasma membrane Ca2+ transporting 2	NM_001683	491
ATP2B3	ATPase plasma membrane Ca2+ transporting 3	NM_021949	492
ATP2B4	ATPase plasma membrane Ca2+ transporting 4	NM_001001396	493
ATP4A	ATPase H+/K+ transporting subunit alpha	NM_000704	495
ATP4B	ATPase H+/K+ transporting subunit beta	NM_000705	496
ATP5F1A	ATP synthase F1 subunit alpha	NM_004046	498
ALDH7A1	aldehyde dehydrogenase 7 family member A1	NM_001182	501
ATP5F1AP2	ATP synthase F1 subunit alpha pseudogene 2	NG_008671	504
ATP5F1B	ATP synthase F1 subunit beta	NM_001686	506
ATP5F1BP1	ATP synthase F1 subunit beta pseudogene 1		507
ATP5F1C	ATP synthase F1 subunit gamma	NM_005174	509
ATP5F1D	ATP synthase F1 subunit delta	NM_001687	513
ATP5F1E	ATP synthase F1 subunit epsilon	NM_001001977	514
ATP5PB	ATP synthase peripheral stalk-membrane subunit b	NM_001688	515
ATP5MC1	ATP synthase membrane subunit c locus 1	NM_005175	516
ATP5MC2	ATP synthase membrane subunit c locus 2	NM_005176	517
ATP5MC3	ATP synthase membrane subunit c locus 3	NM_001689	518
ATP5MC2P1	ATP5MC2 pseudogene 1	NG_004659	520
ATP5ME	ATP synthase membrane subunit e	NM_007100	521
ATP5PF	ATP synthase peripheral stalk subunit F6	NM_001685	522
ATP6V1A	ATPase H+ transporting V1 subunit A	NM_001690	523
ATP6V1B1	ATPase H+ transporting V1 subunit B1	NM_001692	525
ATP6V1B2	ATPase H+ transporting V1 subunit B2	NM_001693	526
ATP6V0C	ATPase H+ transporting V0 subunit c	NM_001694	527
ATP6V1C1	ATPase H+ transporting V1 subunit C1	NM_001695	528
ATP6V1E1	ATPase H+ transporting V1 subunit E1	NM_001696	529
ATP6V0B	ATPase H+ transporting V0 subunit b	NM_004047	533
ATP6V1G2	ATPase H+ transporting V1 subunit G2	NM_130463	534
